sim_text,sim_value,name
医用吊塔升降系统,0.84498435,一种可升降信号灯
一种智能方灯,0.7476952,一种可升降信号灯
一种可延时关闭的灯具,0.8540509,一种可升降信号灯
一种稳固性强的LED灯调节支架,0.87231696,一种可升降信号灯
一种升压电路以及充电器,0.8587486,一种可升降信号灯
互为交叉备用的航标灯系统,0.89131624,一种可升降信号灯
一种高度可调节的便携式灭虫装置,0.8906147,一种可升降信号灯
一种LED灯加工系统,0.8844803,一种可升降信号灯
一种便于拆卸的散热型巷道灯,0.88099426,一种可升降信号灯
一种多功能杀虫灯,0.8899898,一种可升降信号灯
用于成型设备的型芯升降器,0.8719048,一种可升降信号灯
中心旋转升降台,0.865161,一种可升降信号灯
一种节能型多功能台灯,0.86323607,一种可升降信号灯
一种具有蓝牙音乐功能的LED灯,0.8601678,一种可升降信号灯
一种装配台车的二次升降机构,0.8595806,一种可升降信号灯
分离装置以及分离方法,0.77479786,一种分块式水导瓦拆卸工具
一种电动装、拆接地线工具,0.7890714,一种分块式水导瓦拆卸工具
分离膜组件及设备,0.8121245,一种分块式水导瓦拆卸工具
一种固液分离装置,0.8171792,一种分块式水导瓦拆卸工具
一种用于卷式膜组件的分割设备,0.82190865,一种分块式水导瓦拆卸工具
一种油水分离装置及油水分离装置管串,0.82379055,一种分块式水导瓦拆卸工具
一种组合式电力操作杆,0.83715105,一种分块式水导瓦拆卸工具
一种机械工程用挡板,0.84144646,一种分块式水导瓦拆卸工具
一种土工布生产用压布切布装置,0.8421971,一种分块式水导瓦拆卸工具
一种物料沉降分离装置,0.84276056,一种分块式水导瓦拆卸工具
一种活动盖板拆装组件和包含其的锅体上盖及电饭煲,0.84807974,一种分块式水导瓦拆卸工具
一种多组件松土装置,0.8658766,一种分块式水导瓦拆卸工具
一种具有管式分形结构的非均相分离装置,0.8534502,一种分块式水导瓦拆卸工具
一种适用于水槽的垃圾分离机,0.86471176,一种分块式水导瓦拆卸工具
一种电表生产用壳体加工装置,0.8650905,一种分块式水导瓦拆卸工具
一种电缆剪切装置,0.86519706,一种分块式水导瓦拆卸工具
一种分体式发电机组散热装置,0.8676614,一种分块式水导瓦拆卸工具
一种落地式链节拆装机,0.86782473,一种分块式水导瓦拆卸工具
一种立式水动力固液分离设备,0.87345773,一种分块式水导瓦拆卸工具
一种高强度自支撑的油水分离膜及其制备方法,0.87367254,一种分块式水导瓦拆卸工具
一种锂电池涂布机导辊支撑结构,0.8745651,一种分块式水导瓦拆卸工具
一种应用于定距分割防火板的设备,0.87553674,一种分块式水导瓦拆卸工具
一种方形电池拆解机及其拆解设备,0.7566224,一种分块式水导瓦拆卸工具
易拆卸标牌及其安装工艺,0.7653584,一种分块式水导瓦拆卸工具
一种可断裂式的机罩支撑件及汽车,0.8786377,一种分块式水导瓦拆卸工具
一种带式油水分离装置,0.728962,一种分块式水导瓦拆卸工具
一种分体拆卸式拖把桶,0.59782714,一种分块式水导瓦拆卸工具
一种工程机械后盖浇铸用分体式砂芯,0.8791419,一种分块式水导瓦拆卸工具
一种辅助拉手结构及安装方法,0.72356796,一种分块式水导瓦拆卸工具
记账方法、装置及电子设备,0.56766945,电子设备、电子设备系统
电子设备和电子设备的控制方法,0.42369467,电子设备、电子设备系统
电子装置,0.4900721,电子设备、电子设备系统
一种电子设备及其驱动机构,0.49207726,电子设备、电子设备系统
控制设备和控制系统,0.49552336,电子设备、电子设备系统
电子装置以及触控系统,0.49908358,电子设备、电子设备系统
触控装置和电子设备,0.5064328,电子设备、电子设备系统
电子设备的壳体及电子设备,0.55056006,电子设备、电子设备系统
电子装置及其控制方法,0.60225683,电子设备、电子设备系统
自动装配设备,0.5838711,电子设备、电子设备系统
一种基于电子控制的机械铸造设备,0.6078963,电子设备、电子设备系统
一种电气设备自动化控制柜,0.61322886,电子设备、电子设备系统
管理一批设备,0.62049806,电子设备、电子设备系统
一种处理方法、装置及电子设备,0.62261593,电子设备、电子设备系统
自动装置的检测系统,0.6248422,电子设备、电子设备系统
电子信息展示装置,0.6351094,电子设备、电子设备系统
电子设备的壳体及其制作方法、电子设备,0.6361351,电子设备、电子设备系统
一种信息交互方法、装置及电子设备,0.63932955,电子设备、电子设备系统
显示模组及其制造方法与电子装置,0.64409626,电子设备、电子设备系统
转轴装置和电子设备,0.6070875,电子设备、电子设备系统
电子装置、数据处理方法及相关产品,0.6443265,电子设备、电子设备系统
一种料管自动打销钉设备,0.8469503,一种矿灯槽盖注塑模具
一种用于塑料制品的打孔设备,0.82550806,一种矿灯槽盖注塑模具
O型圈成型模具,0.8690761,一种矿灯槽盖注塑模具
一种汽车门板注塑模具的二次顶出机构,0.8667819,一种矿灯槽盖注塑模具
一种光模块,0.86600643,一种矿灯槽盖注塑模具
设有多爪浇口的齿轮模具,0.8564992,一种矿灯槽盖注塑模具
一种多合一锻造轮毂模具,0.8550611,一种矿灯槽盖注塑模具
一种模板尺,0.85320014,一种矿灯槽盖注塑模具
一种卡扣加工方法及其复合模具,0.8525245,一种矿灯槽盖注塑模具
一种玻璃孔打磨装置,0.8478325,一种矿灯槽盖注塑模具
模块化圆筒锁,0.8431271,一种矿灯槽盖注塑模具
一种木塑复合材料生产专用模具材料,0.8371305,一种矿灯槽盖注塑模具
一种恒温手机壳注塑模具,0.8255563,一种矿灯槽盖注塑模具
一种实用性强的梁模具,0.87332296,一种矿灯槽盖注塑模具
锚板铣孔用生产设备,0.7974975,一种矿灯槽盖注塑模具
模具存放架,0.78854585,一种矿灯槽盖注塑模具
一种不易损坏的LED矿灯,0.7776602,一种矿灯槽盖注塑模具
模具用注射装置安装板以及模具,0.77052015,一种矿灯槽盖注塑模具
灯管磨丝冲孔设备,0.7683252,一种矿灯槽盖注塑模具
一种金属制品铸造用冲压模具,0.7679547,一种矿灯槽盖注塑模具
一种多用化LED工矿灯,0.7641887,一种矿灯槽盖注塑模具
螺纹盖成型模,0.75646466,一种矿灯槽盖注塑模具
一种多滑块排位热嘴结构注塑模具,0.7164163,一种矿灯槽盖注塑模具
一种汽车零件注塑方法以及注塑模具,0.87026477,一种矿灯槽盖注塑模具
无废料针筒注塑模,0.87454826,一种矿灯槽盖注塑模具
一种锁芯模具,0.6932933,一种矿灯槽盖注塑模具
一种注胶成型模具,0.5756794,一种矿灯槽盖注塑模具
电梯广告传媒系统,0.76772547,一种游船广播系统
一种广告传媒用灯具,0.8523173,一种游船广播系统
一种用于高速公路的旋转式文化传播装置,0.8903259,一种游船广播系统
一种无线音频系统,0.8900406,一种游船广播系统
一种无线投屏方法、装置及系统,0.8883909,一种游船广播系统
媒体流传输方法及装置,0.8846122,一种游船广播系统
一种通信方法及装置,0.88278854,一种游船广播系统
一种旋转装置,0.8782521,一种游船广播系统
一种船闸快速输水与防碰撞系统,0.8625909,一种游船广播系统
一种船舶航运用尾气处理装置,0.8625147,一种游船广播系统
一种播放方法及装置,0.8606135,一种游船广播系统
一种具有预警功能的投影式文化传播系统,0.8536037,一种游船广播系统
一种基于LED像素棒转动显示的自行车车载广告系统,0.85161877,一种游船广播系统
一种通用型车载广告投放装置,0.7746212,一种游船广播系统
一种广播方法和移动终端,0.75531274,一种游船广播系统
一种波浪能发电用漂浮装置,0.84393215,一种游船广播系统
用于飞行器的推进系统,0.84213746,一种游船广播系统
一种连接装置,0.8408351,一种游船广播系统
一种光传输系统,0.8146279,一种游船广播系统
一种语音播放方法和装置,0.808601,一种游船广播系统
一种用于飞机的语音警告系统及其实现方法,0.802372,一种游船广播系统
一种浮式海洋能发电系统,0.787736,一种游船广播系统
一种网络游戏数据传输方法及系统,0.7802631,一种游船广播系统
一种船舶停泊用缆绳装置,0.7780111,一种游船广播系统
一种波浪发电装置,0.8487818,一种游船广播系统
一种重型卡车用轴承轧制设备,0.81646425,一种滑扭重力发电机组
一种高速重载作动器的供油系统,0.84654975,一种滑扭重力发电机组
一种降噪性能好的发电机,0.8431317,一种滑扭重力发电机组
一种扭振激励装置,0.8428853,一种滑扭重力发电机组
电动机集成型流体机械,0.84133846,一种滑扭重力发电机组
一种变幅起重机臂架,0.8387546,一种滑扭重力发电机组
一种变速装置及农业机械,0.82708776,一种滑扭重力发电机组
一种柴油发电机组集控台,0.82600224,一种滑扭重力发电机组
一种变速传动机构及轮式驱动机械,0.82029897,一种滑扭重力发电机组
一种智能发动机润滑机构,0.8134068,一种滑扭重力发电机组
一种大型风力发电机的交叠式清污设备,0.8123651,一种滑扭重力发电机组
一种转动轴承组件,0.8110854,一种滑扭重力发电机组
一种大位移井轴承式降摩减扭工具,0.8083173,一种滑扭重力发电机组
流动水体牵引固定漂浮水动能发电机,0.7993644,一种滑扭重力发电机组
一种耐久型风力发电机的制备方法,0.7931516,一种滑扭重力发电机组
一种枝桠材重组木压机进料装置,0.7887292,一种滑扭重力发电机组
大扭矩低转速节能电机,0.787048,一种滑扭重力发电机组
电机,0.7726733,一种滑扭重力发电机组
一种减速带发电装置,0.7721165,一种滑扭重力发电机组
低风速自启动垂直轴升阻复合型风力发电机风轮结构,0.7681672,一种滑扭重力发电机组
风力发电机组传动机构、传动方法及风力发电机组,0.7668032,一种滑扭重力发电机组
旋转电机,0.7560367,一种滑扭重力发电机组
一种高速重载作动器,0.7066027,一种滑扭重力发电机组
风力发电机组变桨驱动机构、变桨方法及风力发电机组,0.6979748,一种滑扭重力发电机组
一种扁线电机绕组扭转设备,0.644791,一种滑扭重力发电机组
一种风力发电机组及齿轮箱,0.6344432,一种滑扭重力发电机组
一种风电机组的变桨电机驱动力矩校核方法及装置,0.8463726,一种滑扭重力发电机组
旋转发电机,0.60049707,一种滑扭重力发电机组
一种发电机组,0.5356132,一种滑扭重力发电机组
储物装置、天线扫描控制方法及冰柜系统,0.8067307,冷藏库和冷藏库系统
用于冷却液体产品的在线低温方法和系统,0.7542944,冷藏库和冷藏库系统
用于机动车的制热/制冷系统,0.7548861,冷藏库和冷藏库系统
热泵系统和热泵系统控制方法,0.7550756,冷藏库和冷藏库系统
用于管理存储装置的系统和方法,0.7557898,冷藏库和冷藏库系统
保鲜设备监测装置,0.7559609,冷藏库和冷藏库系统
一种计算机水冷循环系统及方法,0.75616294,冷藏库和冷藏库系统
一种自动控制多级冷却有机溶剂回收系统,0.75822014,冷藏库和冷藏库系统
热处理温控柜指示系统,0.7694117,冷藏库和冷藏库系统
一种冷凝机组,0.77062535,冷藏库和冷藏库系统
一种哈蒙式间接空冷防寒防冻系统,0.77129924,冷藏库和冷藏库系统
储罐阀,0.7786048,冷藏库和冷藏库系统
冷柜,0.5626628,冷藏库和冷藏库系统
一种用于内燃机的冷却系统,0.6613629,冷藏库和冷藏库系统
冷却系统和机动车,0.63756603,冷藏库和冷藏库系统
一种物品管理系统,0.8029272,冷藏库和冷藏库系统
施工设备中的冷却系统的布置结构,0.68587685,冷藏库和冷藏库系统
一种冷冻药箱,0.7992479,冷藏库和冷藏库系统
包括氨存储控制系统的排气处理系统,0.7973708,冷藏库和冷藏库系统
具有杀菌功能的营养液冷藏装置,0.77994496,冷藏库和冷藏库系统
冷却装置,0.66509444,冷藏库和冷藏库系统
一种磁制冷系统,0.67493075,冷藏库和冷藏库系统
压缩机、热泵系统,0.70648,冷藏库和冷藏库系统
一种冷柜或展示柜,0.7162589,冷藏库和冷藏库系统
用于制冷厨房隔间的系统和方法,0.72450316,冷藏库和冷藏库系统
摄像机系统及冰箱,0.7280458,冷藏库和冷藏库系统
包括存储器设备的存储器系统,0.7516761,冷藏库和冷藏库系统
油田废弃物稠油油泥化学热洗流程设备,0.744297,回收砂冷却系统及回收砂冷却方法
一种锻压件加工用余热回收装置,0.6521072,回收砂冷却系统及回收砂冷却方法
一种高温熔盐清洗回收系统,0.6723193,回收砂冷却系统及回收砂冷却方法
一种多介质流的压缩空气余热专用回收设备,0.71359736,回收砂冷却系统及回收砂冷却方法
一种矿热炉烟气余热回收利用装置及其余热回收方法,0.7208494,回收砂冷却系统及回收砂冷却方法
一种炼铁高炉冲渣水乏汽回收系统,0.73007923,回收砂冷却系统及回收砂冷却方法
一种硅废料回收系统的后处理装置,0.6396362,回收砂冷却系统及回收砂冷却方法
一种粮油压榨过程中的余热回收设备,0.7507242,回收砂冷却系统及回收砂冷却方法
热回收结构,0.5913488,回收砂冷却系统及回收砂冷却方法
直接空冷机组热回收和水处理装置及热回收和水处理方法,0.5595146,回收砂冷却系统及回收砂冷却方法
水冷热回收机组,0.535424,回收砂冷却系统及回收砂冷却方法
一种基于生物科技的冷凝水热能回收装置,0.6428959,回收砂冷却系统及回收砂冷却方法
一种无机粘结剂废砂粉碎过滤再生装置,0.79100424,回收砂冷却系统及回收砂冷却方法
一种废弃物分类回收处理设备,0.7866912,回收砂冷却系统及回收砂冷却方法
一种高炉水渣过滤池余热制冷利用设备,0.781435,回收砂冷却系统及回收砂冷却方法
旋转床热解装置及采用其进行油泥热解的方法,0.7791901,回收砂冷却系统及回收砂冷却方法
一种废水处理回收系统中的杂物清理装置,0.7756755,回收砂冷却系统及回收砂冷却方法
冷却水应急补水系统及冷却水应急补水方法,0.77277184,回收砂冷却系统及回收砂冷却方法
并联式液压制动能量回收系统,0.771806,回收砂冷却系统及回收砂冷却方法
一种溶剂脱蜡脱油装置的节能回收系统,0.7717826,回收砂冷却系统及回收砂冷却方法
一种智能全密闭湿法熄焦及综合回收利用设备,0.77099735,回收砂冷却系统及回收砂冷却方法
一种多组分开回收的冷凝法汽油回收装置,0.60982335,回收砂冷却系统及回收砂冷却方法
一种取消压缩机组的光气回收系统,0.7660644,回收砂冷却系统及回收砂冷却方法
一种钕铁硼废料闪速控氧焙烧综合回收的方法,0.7544681,回收砂冷却系统及回收砂冷却方法
一种回收剩余污泥的方法,0.7539203,回收砂冷却系统及回收砂冷却方法
超声波清理、循环冷却装置,0.77086335,回收砂冷却系统及回收砂冷却方法
一种高炉水渣系统过滤池热能回收系统,0.66619176,回收砂冷却系统及回收砂冷却方法
无线通信方法和无线通信设备,0.48138502,通信系统及通信系统的通信方法
在无线通信系统中的发送信号的方法及其装置,0.42896348,通信系统及通信系统的通信方法
通信装置、通信方法和电子装置,0.44051796,通信系统及通信系统的通信方法
一种自组网应急通信系统及其通信方法,0.4394504,通信系统及通信系统的通信方法
TDMA通信装置、TDMA通信方法,0.5224419,通信系统及通信系统的通信方法
传输控制方法,0.5129203,通信系统及通信系统的通信方法
一种调整频域资源和发送指示信息的方法、装置及系统,0.5035528,通信系统及通信系统的通信方法
一种通讯连接建立方法及设备,0.5014927,通信系统及通信系统的通信方法
一种电力无线通信系统中的快速信道切换方法,0.49658066,通信系统及通信系统的通信方法
一种数据传输的方法、设备及系统,0.48871955,通信系统及通信系统的通信方法
一种短距通信的方法、装置和系统,0.48338544,通信系统及通信系统的通信方法
一种数据通信装置及方法,0.4468773,通信系统及通信系统的通信方法
多连接通信的指示方法和执行方法、及对应装置和系统,0.47912398,通信系统及通信系统的通信方法
一种传输控制方法、相关设备和系统,0.45328343,通信系统及通信系统的通信方法
一种控照型光信号并行通信系统及通信方法,0.44968143,通信系统及通信系统的通信方法
无线通信系统中的装置和方法,0.44204527,通信系统及通信系统的通信方法
一种模内攻牙机的丝锥保护装置,0.87864757,安全壳钢衬里分片高空焊接工装仪
膜厚度测量方法及膜厚度测量装置,0.8403649,安全壳钢衬里分片高空焊接工装仪
一种半挂车井字梁焊接工装及其焊接工艺,0.82094675,安全壳钢衬里分片高空焊接工装仪
一种自动接膜装置,0.8287233,安全壳钢衬里分片高空焊接工装仪
一种包带连接解锁装置夹块润滑膜涂覆工装,0.8294853,安全壳钢衬里分片高空焊接工装仪
层叠铁芯的制造方法和模具装置,0.8781714,安全壳钢衬里分片高空焊接工装仪
箱型梁自动焊接装置及使用方法,0.80386204,安全壳钢衬里分片高空焊接工装仪
一种多功能高空钢丝移动装置,0.79949725,安全壳钢衬里分片高空焊接工装仪
海运支架连接件焊接装置,0.7904631,安全壳钢衬里分片高空焊接工装仪
一种钢结构支架焊接辅助装置及其使用方法,0.78572273,安全壳钢衬里分片高空焊接工装仪
便携式内隔板焊接机及其应用方法,0.7769902,安全壳钢衬里分片高空焊接工装仪
磨盘焊接装置,0.77480483,安全壳钢衬里分片高空焊接工装仪
汽车管体焊接工装,0.7557619,安全壳钢衬里分片高空焊接工装仪
一种边框与钎料的焊接装置,0.75079423,安全壳钢衬里分片高空焊接工装仪
一种适用于管桩端板安装的自动安装装置,0.8069252,安全壳钢衬里分片高空焊接工装仪
一种用于真空规管与集热管玻璃外管连接的装置及方法,0.8192696,安全壳钢衬里分片高空焊接工装仪
一种承载基体的支架及其安装工艺,0.8415927,安全壳钢衬里分片高空焊接工装仪
一种复合式螺纹自锁钢筋连接套筒及安装工具,0.8488816,安全壳钢衬里分片高空焊接工装仪
焊条筒的保温装置,0.87549794,安全壳钢衬里分片高空焊接工装仪
一种管道内壁自动探伤、碳刨与焊接机器人,0.87160796,安全壳钢衬里分片高空焊接工装仪
装配式钢筋焊接网及其制备方法,0.8671951,安全壳钢衬里分片高空焊接工装仪
一种焊接用工作服,0.86541885,安全壳钢衬里分片高空焊接工装仪
一种异种金属材料管道焊接装置,0.8562674,安全壳钢衬里分片高空焊接工装仪
装饰膜及电子设备盖板,0.85162246,安全壳钢衬里分片高空焊接工装仪
弹簧和块检测和装盖板机构,0.85019755,安全壳钢衬里分片高空焊接工装仪
辐照薄壁铝管切分装置及切分方法,0.8437873,安全壳钢衬里分片高空焊接工装仪
一种控制电机的方法及装置,0.6903888,充电方法、充电设备和充电控制设备
一种计算机供电控制方法及装置,0.71187305,充电方法、充电设备和充电控制设备
用于控制电力系统的方法以及电力系统,0.72135794,充电方法、充电设备和充电控制设备
机动车能量存储装置充电过程的控制方法、控制装置、充电管理装置、服务器装置和机动车,0.7228291,充电方法、充电设备和充电控制设备
一种电控箱及其温控方法、装置,0.7228629,充电方法、充电设备和充电控制设备
一种设备状态控制方法及装置,0.7240929,充电方法、充电设备和充电控制设备
电子设备和电子设备的跌落控制方法,0.72671044,充电方法、充电设备和充电控制设备
家电设备、家电设备的控制方法及存储介质,0.6924869,充电方法、充电设备和充电控制设备
一种集中式分时充电方法及系统,0.6761474,充电方法、充电设备和充电控制设备
一种按键及其制备方法、制备模具、电子设备,0.7286777,充电方法、充电设备和充电控制设备
一种OBD设备供电的智能切换方法及供电电路,0.7105596,充电方法、充电设备和充电控制设备
一种USB音频类设备及其控制方法、装置,0.67489934,充电方法、充电设备和充电控制设备
网络设备控制方法及网络设备,0.6205905,充电方法、充电设备和充电控制设备
家用电器及其运行方法和智能控制方法,0.7034147,充电方法、充电设备和充电控制设备
电动机的驱动控制装置和控制方法,0.70555353,充电方法、充电设备和充电控制设备
通信方法和设备,0.70670944,充电方法、充电设备和充电控制设备
充电率推定方法及车载的电池系统,0.709598,充电方法、充电设备和充电控制设备
电阻器的制造方法、电阻器及相应的制造设备,0.70981604,充电方法、充电设备和充电控制设备
控制系统及控制方法,0.66714394,充电方法、充电设备和充电控制设备
一种充放电设备匹配方法和装置,0.4838117,充电方法、充电设备和充电控制设备
控制装置和控制方法,0.5725496,充电方法、充电设备和充电控制设备
用于监测直流电源的方法和设备,0.63510126,充电方法、充电设备和充电控制设备
用于电池充电状态计算的方法和系统,0.6453898,充电方法、充电设备和充电控制设备
具有操作器件的充电插接连接器,0.6447459,充电方法、充电设备和充电控制设备
摄像设备及其控制方法和发光控制设备,0.62669367,充电方法、充电设备和充电控制设备
基板处理方法、基板处理装置及基板处理系统,0.823383,纸币处理装置、纸币处理方法
信息处理方法、信息处理设备以及介质,0.822634,纸币处理装置、纸币处理方法
图像处理方法、装置、终端及存储介质,0.8253709,纸币处理装置、纸币处理方法
一种图像处理方法、电子设备及存储介质,0.81415355,纸币处理装置、纸币处理方法
一种用于垃圾焚烧烟气处理装置,0.8123141,纸币处理装置、纸币处理方法
一种信息处理方法、装置、电子设备及计算机存储介质,0.8112332,纸币处理装置、纸币处理方法
一种新型工业废气检测装置及其制作方法,0.80269074,纸币处理装置、纸币处理方法
用于处理炉气的工艺和装置,0.80134875,纸币处理装置、纸币处理方法
一种视频处理方法和装置,0.8261128,纸币处理装置、纸币处理方法
图像处理装置和存储介质,0.8255173,纸币处理装置、纸币处理方法
存储装置及其操作方法,0.81829864,纸币处理装置、纸币处理方法
基板处理方法、记录介质和基板处理装置,0.7855864,纸币处理装置、纸币处理方法
一种图像处理的方法、装置及计算机存储介质,0.79868644,纸币处理装置、纸币处理方法
基板处理方法以及基板处理装置,0.74755865,纸币处理装置、纸币处理方法
一种废水处理装置,0.7484,纸币处理装置、纸币处理方法
基于安全线的纸张鉴伪方法、装置、设备及可读存储介质,0.7887524,纸币处理装置、纸币处理方法
一种河道垃圾收集装置及其方法,0.7916164,纸币处理装置、纸币处理方法
一种机械撕片装置及烟叶预处理工艺,0.7976431,纸币处理装置、纸币处理方法
用于处理信息的方法和装置,0.7438731,纸币处理装置、纸币处理方法
图像处理方法和装置、存储介质、电子设备,0.733021,纸币处理装置、纸币处理方法
一种废气处理装置,0.71676576,纸币处理装置、纸币处理方法
信息处理装置和信息处理方法,0.7163792,纸币处理装置、纸币处理方法
衣物处理装置及其控制方法,0.7066077,纸币处理装置、纸币处理方法
消息处理方法及装置,0.69843596,纸币处理装置、纸币处理方法
涂布处理方法、涂布处理装置以及存储介质,0.6709598,纸币处理装置、纸币处理方法
一种数据处理方法及装置,0.790056,纸币处理装置、纸币处理方法
废水处理方法和废水处理装置,0.66125226,纸币处理装置、纸币处理方法
气体分离用组件和气体分离方法,0.722206,用于液晶介质的化合物及其用于高频组件的用途
一种用于聚驱产出液中聚合物的分离与提纯设备,0.723899,用于液晶介质的化合物及其用于高频组件的用途
一种在金属表面制备金属间化合物涂层的工艺方法,0.7309691,用于液晶介质的化合物及其用于高频组件的用途
一种可降解的自支撑薄膜晶体管器件及其制备方法,0.731104,用于液晶介质的化合物及其用于高频组件的用途
一种液-液萃取分离装置及分离方法,0.74780685,用于液晶介质的化合物及其用于高频组件的用途
在高温下使用的固态电解质电容器,0.75293267,用于液晶介质的化合物及其用于高频组件的用途
一种氮掺杂洋葱碳的制备及作为钾离子电容器负极材料的应用,0.7543833,用于液晶介质的化合物及其用于高频组件的用途
一种板钛矿相二氧化钛介晶的制备方法及其在锂电池中的应用,0.7585903,用于液晶介质的化合物及其用于高频组件的用途
一种承载金属颗粒的高分子固化剂及其应用,0.7591483,用于液晶介质的化合物及其用于高频组件的用途
聚硅氧烷离子液体及其制备方法,0.759251,用于液晶介质的化合物及其用于高频组件的用途
一种溶剂萃取产品的设备和方法,0.7618609,用于液晶介质的化合物及其用于高频组件的用途
提高表面火焰处理效果的聚丙烯组合物及其制备方法,0.7649215,用于液晶介质的化合物及其用于高频组件的用途
利用养分晶体熔融渗透制备炭基肥颗粒的装置及工艺,0.7660113,用于液晶介质的化合物及其用于高频组件的用途
一种多孔金属材料组成的隔振装置,0.7674891,用于液晶介质的化合物及其用于高频组件的用途
一种高性能薄膜电极材料及其制备方法和应用,0.7234311,用于液晶介质的化合物及其用于高频组件的用途
负载铂纳米粒子的介孔氧化锆纳米管复合材料及其制备方法与在持续处理有机废气中的应用,0.75370795,用于液晶介质的化合物及其用于高频组件的用途
介孔氮化碳的制备方法及其产品和应用,0.6265454,用于液晶介质的化合物及其用于高频组件的用途
一种聚离子液体/玉米醇溶蛋白复合碳材料的制备及应用,0.7189367,用于液晶介质的化合物及其用于高频组件的用途
高介电性薄膜、其用途和制造方法,0.55289555,用于液晶介质的化合物及其用于高频组件的用途
一种溶液法制备氧化物薄膜晶体管的方法,0.6664614,用于液晶介质的化合物及其用于高频组件的用途
一种可陶瓷化电磁屏蔽高分子复合材料及应用,0.6727246,用于液晶介质的化合物及其用于高频组件的用途
一种低温制备金属氧化物薄膜晶体管的方法,0.68654656,用于液晶介质的化合物及其用于高频组件的用途
一种用于电子产品的高散热材料及其制备方法,0.7008071,用于液晶介质的化合物及其用于高频组件的用途
电子组件和用于制造电子组件的方法,0.70632637,用于液晶介质的化合物及其用于高频组件的用途
薄膜晶体管及其制造方法、具有其的显示面板和显示设备,0.71377784,用于液晶介质的化合物及其用于高频组件的用途
玻璃熔体组件,0.71642244,用于液晶介质的化合物及其用于高频组件的用途
用于化学和/或电解表面处理的分配系统,0.717655,用于液晶介质的化合物及其用于高频组件的用途
一种超声辅助液化废弃茭白纤维制备聚醚多元醇的方法,0.71526873,用于液晶介质的化合物及其用于高频组件的用途
显示基板及其制备方法、显示器件及其制备方法、显示装置,0.40448567,元件基板、检查方法及半导体装置制造方法
配备有腔体单元的半导体工程装置,0.4661034,元件基板、检查方法及半导体装置制造方法
一种新型半导体封装结构及其制造方法,0.50693774,元件基板、检查方法及半导体装置制造方法
一种基底、基板及其制作方法、电子器件,0.5088041,元件基板、检查方法及半导体装置制造方法
半导体装置,0.51194423,元件基板、检查方法及半导体装置制造方法
